Year,Charcoal_A,Charcoal_D,Landfill_C,Landfill_A,Landfill_DC
0,85854452.0,85940.0,27263396.0,25503906.0,1759490.0
1,166369285.0,166536.0,66356685.0,88798320.0,3062271.0
2,258406900.0,258666.0,100327283.0,185536616.0,3588986.0
3,351287942.0,351640.0,132352988.0,311636193.0,6253412.0
4,436513533.0,436950.0,163747271.0,463491446.0,11892017.0
5,530276153.0,530807.0,194890247.0,637657745.0,20723948.0
6,618377735.0,618997.0,225922621.0,830589609.0,32990757.0
7,703754027.0,704458.0,255824048.0,1037501159.0,48912498.0
8,799126290.0,799926.0,287785306.0,1256482019.0,68804445.0
9,895907161.0,896804.0,319536224.0,1483210183.0,92808060.0
10,994118774.0,995114.0,351614017.0,1713721534.0,121102666.0
11,1091811638.0,1092905.0,382459795.0,1768427609.0,327753720.0
12,1188988056.0,1190178.0,413033834.0,2002440334.0,179021109.0
13,1285650321.0,1286937.0,443313181.0,2238026344.0,207727171.0
14,1381800715.0,1383184.0,473267499.0,2474356863.0,236936980.0
15,1477441514.0,1478920.0,502861486.0,2710590195.0,266628154.0
16,1572574979.0,1574149.0,483681615.0,2945896252.0,248375558.0
17,1667203367.0,1668872.0,487098426.0,3134292559.0,298702119.0
18,1761328921.0,1763092.0,490267263.0,3295321170.0,329238652.0
19,1854953876.0,1856811.0,493145684.0,3428085804.0,360381051.0
20,1948080458.0,1950030.0,495773167.0,3536646588.0,387212383.0
21,2041267247.0,2043311.0,498462964.0,3587301046.0,447808506.0
22,2134514430.0,2136651.0,501048141.0,3658380669.0,429968519.0
23,2227822196.0,2230052.0,503491762.0,3715764559.0,446107872.0
24,2321190730.0,2323514.0,505841292.0,3763634285.0,457971565.0
25,2414620221.0,2417037.0,508066279.0,3806276769.0,465423795.0
26,2508110857.0,2510621.0,510174950.0,3848042188.0,468409531.0
27,2601662828.0,2604267.0,512732460.0,3892794509.0,467980140.0
28,2695276321.0,2697974.0,515743004.0,3938088373.0,470449140.0
29,2788951525.0,2791743.0,519210761.0,3984662625.0,472636510.0
30,2882688630.0,2885574.0,523139805.0,4033352607.0,474449823.0
31,2976287157.0,2979266.0,527381891.0,4084893501.0,475840997.0
32,3069747267.0,3072820.0,532043986.0,4139790257.0,477147230.0
33,3163069117.0,3166235.0,537128356.0,4198495581.0,478423032.0
34,3256252868.0,3259512.0,542636907.0,4261387285.0,479745203.0
35,3349298678.0,3352651.0,548571117.0,4328763747.0,481194654.0
36,3442206705.0,3445652.0,554932015.0,4382708256.0,500987506.0
37,3534977109.0,3538516.0,561570365.0,4458867561.0,485411061.0
38,3627610047.0,3631241.0,568489372.0,4539794954.0,487561979.0
39,3720105678.0,3723830.0,575691963.0,4625410672.0,490076246.0
40,3812464160.0,3816280.0,583180758.0,4715635618.0,492955812.0
41,3904442199.0,3908351.0,590759157.0,4782805055.0,523589720.0
42,3996041039.0,4000041.0,598572661.0,4880192210.0,501185506.0
43,4087261920.0,4091353.0,606621725.0,4981773722.0,505040214.0
44,4178106078.0,4182288.0,614906453.0,5087515599.0,509164576.0
45,4268574749.0,4272848.0,623426597.0,5197406637.0,513535559.0
46,4358669159.0,4363032.0,632181531.0,5311458594.0,518129573.0
47,4448390534.0,4452843.0,641222303.0,5429707062.0,522973834.0
48,4537740095.0,4542282.0,650546704.0,5552259469.0,527994296.0
49,4626719059.0,4631350.0,660152009.0,5679226321.0,533185157.0
50,4715328642.0,4720049.0,670034971.0,5810720293.0,538540999.0
51,4803524047.0,4808332.0,680152117.0,5946850918.0,544021492.0
52,4891306828.0,4896203.0,690528959.0,6087683637.0,549696240.0
53,4978678528.0,4983662.0,701160498.0,6233298598.0,555545536.0
54,5065640689.0,5070711.0,712041237.0,6383762039.0,561577796.0
55,5152194843.0,5157352.0,723165176.0,6539127000.0,567800215.0
56,5238342521.0,5243586.0,734525829.0,6699432472.0,574220358.0
57,5324085247.0,5329415.0,746177464.0,6864703013.0,580906923.0
58,5409424536.0,5414839.0,758111514.0,7035006307.0,587808220.0
59,5494361904.0,5499862.0,770318819.0,7210403939.0,594921187.0
60,5578898857.0,5584483.0,782789666.0,7390950943.0,602242662.0
61,5662850390.0,5668519.0,793232716.0,7576689348.0,607494311.0
62,5746219876.0,5751972.0,804179479.0,7765390949.0,615477878.0
63,5829010667.0,5834846.0,815641668.0,7957304775.0,623727842.0
64,5911226098.0,5917143.0,827016228.0,8152687541.0,631633463.0
65,5992869484.0,5998868.0,838500092.0,8351235752.0,639951880.0
66,6073944124.0,6080024.0,850115894.0,8552838126.0,648513521.0
67,6154453295.0,6160614.0,861937211.0,8757402739.0,657372597.0
68,6234400257.0,6240641.0,873968724.0,8964916726.0,666454737.0
69,6313788253.0,6320108.0,886017208.0,9175386007.0,675547927.0
70,6392620507.0,6399020.0,898169466.0,9388639529.0,684915944.0
71,6470778171.0,6477255.0,902997886.0,9604603605.0,687033810.0
72,6548266087.0,6554821.0,908823976.0,9815936934.0,697490647.0
73,6625089065.0,6631721.0,913361132.0,10023409611.0,705888455.0
74,6701251880.0,6707960.0,917203786.0,10225575483.0,715037914.0
75,6776759275.0,6783543.0,921257572.0,10421799420.0,725033635.0
76,6851615956.0,6858474.0,924882395.0,10612348765.0,734333050.0
77,6925826600.0,6932759.0,928804012.0,10796944033.0,744208744.0
78,6999395850.0,7006402.0,933840619.0,10976073708.0,754710945.0
79,7072328314.0,7079408.0,939311314.0,11151067023.0,764317999.0
80,7144628570.0,7151780.0,944798752.0,11322645210.0,773220565.0
