Year,Harveted_Timber,Biomass,Pulpwood,Sawlog
2020,1960665761,647019701,941119565.1,372526494.5
2021,1960665761,647019701,941119565.1,372526494.5
2022,1960665761,647019701,941119565.1,372526494.5
2023,1960665761,647019701,941119565.1,372526494.5
2024,1960665761,647019701,941119565.1,372526494.5
2025,1960665761,647019701,941119565.1,372526494.5
2026,1960665761,647019701,941119565.1,372526494.5
2027,1960665761,647019701,941119565.1,372526494.5
2028,1960665761,647019701,941119565.1,372526494.5
2029,1960665761,647019701,941119565.1,372526494.5
2030,1960665761,647019701,941119565.1,372526494.5
2031,1960665761,647019701,941119565.1,372526494.5
2032,1960665761,647019701,941119565.1,372526494.5
2033,1960665761,647019701,941119565.1,372526494.5
2034,1960665761,647019701,941119565.1,372526494.5
2035,1960665761,647019701,941119565.1,372526494.5
2036,1960665761,647019701,941119565.1,372526494.5
2037,1960665761,647019701,941119565.1,372526494.5
2038,1960665761,647019701,941119565.1,372526494.5
2039,1960665761,647019701,941119565.1,372526494.5
2040,1960665761,647019701,941119565.1,372526494.5
2041,1960665761,647019701,941119565.1,372526494.5
2042,1960665761,647019701,941119565.1,372526494.5
2043,1960665761,647019701,941119565.1,372526494.5
2044,1960665761,647019701,941119565.1,372526494.5
2045,1960665761,647019701,941119565.1,372526494.5
2046,1960665761,647019701,941119565.1,372526494.5
2047,1960665761,647019701,941119565.1,372526494.5
2048,1960665761,647019701,941119565.1,372526494.5
2049,1960665761,647019701,941119565.1,372526494.5
2050,1960665761,647019701,941119565.1,372526494.5
2051,1960665761,647019701,941119565.1,372526494.5
2052,1960665761,647019701,941119565.1,372526494.5
2053,1960665761,647019701,941119565.1,372526494.5
2054,1960665761,647019701,941119565.1,372526494.5
2055,1960665761,647019701,941119565.1,372526494.5
2056,1960665761,647019701,941119565.1,372526494.5
2057,1960665761,647019701,941119565.1,372526494.5
2058,1960665761,647019701,941119565.1,372526494.5
2059,1960665761,647019701,941119565.1,372526494.5
2060,1960665761,647019701,941119565.1,372526494.5
2061,1960665761,647019701,941119565.1,372526494.5
2062,1960665761,647019701,941119565.1,372526494.5
2063,1960665761,647019701,941119565.1,372526494.5
2064,1960665761,647019701,941119565.1,372526494.5
2065,1960665761,647019701,941119565.1,372526494.5
2066,1960665761,647019701,941119565.1,372526494.5
2067,1960665761,647019701,941119565.1,372526494.5
2068,1960665761,647019701,941119565.1,372526494.5
2069,1960665761,647019701,941119565.1,372526494.5
2070,1960665761,647019701,941119565.1,372526494.5
2071,1960665761,647019701,941119565.1,372526494.5
2072,1960665761,647019701,941119565.1,372526494.5
2073,1960665761,647019701,941119565.1,372526494.5
2074,1960665761,647019701,941119565.1,372526494.5
2075,1960665761,647019701,941119565.1,372526494.5
2076,1960665761,647019701,941119565.1,372526494.5
2077,1960665761,647019701,941119565.1,372526494.5
2078,1960665761,647019701,941119565.1,372526494.5
2079,1960665761,647019701,941119565.1,372526494.5
2080,1960665761,647019701,941119565.1,372526494.5
2081,1960665761,647019701,941119565.1,372526494.5
2082,1960665761,647019701,941119565.1,372526494.5
2083,1960665761,647019701,941119565.1,372526494.5
2084,1960665761,647019701,941119565.1,372526494.5
2085,1960665761,647019701,941119565.1,372526494.5
2086,1960665761,647019701,941119565.1,372526494.5
2087,1960665761,647019701,941119565.1,372526494.5
2088,1960665761,647019701,941119565.1,372526494.5
2089,1960665761,647019701,941119565.1,372526494.5
2090,1960665761,647019701,941119565.1,372526494.5
2091,1960665761,647019701,941119565.1,372526494.5
2092,1960665761,647019701,941119565.1,372526494.5
2093,1960665761,647019701,941119565.1,372526494.5
2094,1960665761,647019701,941119565.1,372526494.5
2095,1960665761,647019701,941119565.1,372526494.5
2096,1960665761,647019701,941119565.1,372526494.5
2097,1960665761,647019701,941119565.1,372526494.5
2098,1960665761,647019701,941119565.1,372526494.5
2099,1960665761,647019701,941119565.1,372526494.5
2100,1960665761,647019701,941119565.1,372526494.5
